feature,train_mean,development_mean,standardized_mean_shift
reliability_score,0.8371691606862525,0.8373066623122142,0.0013742997843071358
financial_risk,0.20895541320923974,0.20746735249292403,-0.012128063499724047
geopolitical_risk,0.18538066831128056,0.18486666666666665,-0.004373668971851456
weather_risk,0.20322894707333483,0.2030081863705639,-0.0019735596950931624
cyber_risk,0.18017458230544967,0.1794798606575223,-0.006536869896001528
component_capacity,50000.0,50000.0,
lead_time_days,15.59606974657995,15.597430873067712,0.00018049924539982384
lead_time_std,2.8763736263736264,2.875916612236011,-0.00036153563741297187
component_count,5.0,5.0,
downstream_product_count,40.702511773940344,40.714892227302414,0.0022583124347573236
downstream_factory_count,18.646949988786723,18.654365338558677,0.00563236453364706
route_count,2.0,2.0,
graph_degree,5.0,5.0,
weather_signal,0.35288602222497406,0.33825619830923204,-0.0922052648938882
congestion_signal,0.34749304761543887,0.357053990920818,0.06166664508854119
demand_pressure,0.44793707114575493,0.4523917384528716,0.028307021435276598
utilization,0.7015716820153313,0.7035762823038318,0.028307021439549628
delay_rate_7d,0.14862797552149978,0.14985459239088397,0.021156772760375878
onsets_30d,0.34276183000672794,0.41780971042891357,0.12795960401624526
completed_duration_mean_90d,2.292488906865693,2.506838304671021,0.11483638228968944
days_since_onset,104.95680085220901,79.9368604397997,-0.2169579414675664
